state_name,lead_day,valid_time,latitude,longitude,rfs,normal,deviation,temperature_C,r2,pressure_hPa,wind_speed,wind_direction,previous_error_mean,previous_bust_rate,bust_probability,stress_score,confidence,risk_reasons
Bihar,3,2026-08-30,26.0,85.25,0.0,9.530645161290323,-100.0,26.21457,91.5,1001.6914,1.8689932,97.56711,6.67980409221797,0.10588664115181337,0.0316653189663185,12.942705392814302,HIGH CONFIDENCE,Very high humidity
Bihar,4,2026-08-31,26.0,85.25,0.0625,9.530645161290323,-99.34422068031816,25.148865,93.4,1000.9761,2.9119387,254.30087,6.67980409221797,0.10588664115181337,0.0316653189663185,13.804920812061471,HIGH CONFIDENCE,Very high humidity
Bihar,5,2026-09-01,26.0,85.25,6.8125,7.508666666666667,-9.271508479090826,26.011871,92.8,1002.47424,2.5891783,100.89791,6.67980409221797,0.10588664115181337,0.14767086767017978,23.48568428447548,HIGH CONFIDENCE,Very high humidity
Bihar,6,2026-09-02,26.0,85.25,1.125,7.508666666666667,-85.01731332682235,25.111328,86.7,1003.781,2.9857035,62.238483,6.67980409221797,0.10588664115181337,0.0418475807548778,13.403685115358533,HIGH CONFIDENCE,Weather conditions relatively stable
Bihar,7,2026-09-03,26.0,85.25,1.5625,7.508666666666667,-79.19071295391991,26.41211,89.1,1002.8117,3.8867555,73.520065,6.67980409221797,0.10588664115181337,0.04196966819952105,14.651707521971916,HIGH CONFIDENCE,Weather conditions relatively stable
Bihar,8,2026-09-04,26.0,85.25,0.0,7.508666666666667,-100.0,25.373016,92.6,1004.2517,5.5719,96.26595,6.67980409221797,0.10588664115181337,0.029656718299215696,14.371662218324621,HIGH CONFIDENCE,Very high humidity
Bihar,9,2026-09-05,26.0,85.25,0.0,7.508666666666667,-100.0,25.88379,89.6,1004.97815,4.9874606,91.35815,6.67980409221797,0.10588664115181337,0.029656718299215696,13.426849249951323,HIGH CONFIDENCE,Weather conditions relatively stable
Bihar,10,2026-09-06,26.0,85.25,4.1875,7.508666666666667,-44.23111071650537,26.069977,89.8,1005.819,2.5625474,94.97022,6.67980409221797,0.10588664115181337,0.08796294609725383,18.28176392253721,HIGH CONFIDENCE,Weather conditions relatively stable
Chhattisgarh,1,2026-08-28,21.25,82.0,0.0,11.814838709677419,-100.0,23.350006,93.6,1004.65375,3.7285125,253.76894,12.548285604495197,0.196121080297263,0.04350937070370053,17.325479296136603,HIGH CONFIDENCE,Very high humidity
Chhattisgarh,2,2026-08-29,21.25,82.0,0.4375,11.814838709677419,-96.29702943264348,24.450012,88.9,1004.42053,3.7761846,266.6985,12.548285604495197,0.196121080297263,0.05360215726116648,16.797682314908673,HIGH CONFIDENCE,Weather conditions relatively stable
