latitude,longitude,valid_time,lead_day,u10,v10,wind_speed,wind_direction,temperature_C,r2,pressure_hPa,tp
5.0,97.25,2026-08-28,1,0.34990233,1.2321631,1.2808815,195.85318,22.649994,90.1,1012.03375,0.0
5.0,97.5,2026-08-28,1,0.039902344,0.93216306,0.9330167,182.45113,24.050018,93.3,1011.8298,0.0
5.0,97.75,2026-08-28,1,0.029902345,1.6121631,1.6124403,181.0626,25.149994,87.5,1011.7517,0.0
5.0,98.0,2026-08-28,1,-0.28009766,2.4821632,2.497917,173.56174,27.550018,78.2,1011.69977,0.0
5.0,98.25,2026-08-28,1,-0.31009766,2.592163,2.6106455,173.17818,28.350006,77.2,1011.6717,0.0
5.0,98.5,2026-08-28,1,-0.53009766,2.642163,2.6948152,168.65533,29.149994,71.0,1011.5977,0.0
5.0,98.75,2026-08-28,1,-1.2800976,2.2721632,2.6079447,150.60384,29.25,69.4,1011.61975,0.0
5.0,99.0,2026-08-28,1,-1.9100976,1.7421631,2.585267,132.36732,29.25,69.6,1011.67773,0.0
5.0,99.25,2026-08-28,1,-1.9500977,2.182163,2.9265537,138.21431,29.350006,69.6,1011.7177,0.0
5.0,99.5,2026-08-28,1,-1.9000976,3.392163,3.8880768,150.74492,29.450012,71.0,1011.71576,0.0
5.0,99.75,2026-08-28,1,-2.0500977,3.932163,4.4345016,152.46396,29.450012,71.5,1011.65173,0.3125
5.0,100.0,2026-08-28,1,-2.5700977,3.2721632,4.160824,141.85239,29.050018,72.5,1011.71375,1.75
5.25,65.0,2026-08-28,1,2.9999022,2.2921631,3.7753708,232.61731,27.75,75.9,1012.5198,0.1875
5.25,65.25,2026-08-28,1,3.0099022,1.9621631,3.5929925,236.89957,27.850006,75.3,1012.5158,0.0
5.25,65.5,2026-08-28,1,2.9899023,1.7221631,3.4504147,240.05835,27.850006,74.8,1012.5637,0.0
5.25,65.75,2026-08-28,1,3.0099022,1.7221631,3.4677596,240.2233,27.850006,74.5,1012.60974,0.0
5.25,66.0,2026-08-28,1,2.8599024,1.752163,3.3539703,238.50565,27.850006,74.4,1012.67975,0.0
5.25,66.25,2026-08-28,1,2.5399024,1.392163,2.8964155,241.27213,27.850006,75.0,1012.8237,0.0
5.25,66.5,2026-08-28,1,2.7099023,0.93216306,2.8657455,251.01761,27.850006,74.7,1012.75775,0.0
5.25,66.75,2026-08-28,1,2.8199024,0.67216307,2.8989053,256.59293,27.850006,74.3,1012.72974,0.0
5.25,67.0,2026-08-28,1,2.8099024,0.7621631,2.9114335,254.82413,27.950012,73.5,1012.7798,0.0
5.25,67.25,2026-08-28,1,3.0599024,1.132163,3.2626364,249.69554,27.950012,73.4,1012.8258,0.0
5.25,67.5,2026-08-28,1,3.2999024,1.4821631,3.61748,245.8126,28.050018,73.1,1012.8558,0.0
5.25,67.75,2026-08-28,1,3.8499024,1.2021631,4.0332303,252.6586,28.050018,73.4,1012.76373,0.5625
5.25,68.0,2026-08-28,1,4.119902,0.8321631,4.2031045,258.5807,28.149994,73.6,1012.67773,2.375
5.25,68.25,2026-08-28,1,3.9999022,0.9021631,4.10038,257.28983,27.850006,74.6,1012.65375,3.4375
5.25,68.5,2026-08-28,1,4.539902,0.55216306,4.573357,263.0655,27.850006,74.1,1012.6217,2.375
5.25,68.75,2026-08-28,1,4.9899025,0.19216308,4.9936013,267.79462,27.950012,73.9,1012.5877,1.4375
5.25,69.0,2026-08-28,1,4.9999022,0.032163087,5.0000057,269.63144,28.050018,74.1,1012.56775,1.3125
5.25,69.25,2026-08-28,1,4.9199023,0.14216308,4.9219556,268.34488,28.25,74.1,1012.53174,2.3125
5.25,69.5,2026-08-28,1,4.4999022,0.26216307,4.5075326,266.66574,28.25,73.9,1012.5477,1.375
5.25,69.75,2026-08-28,1,3.8299024,0.3421631,3.8451564,264.89478,28.350006,73.4,1012.6917,0.6875
5.25,70.0,2026-08-28,1,3.6999023,0.44216308,3.7262292,263.1851,28.050018,74.5,1012.72174,0.5
5.25,70.25,2026-08-28,1,4.1099024,0.2721631,4.118904,266.21133,27.950012,75.2,1012.61774,0.9375
5.25,70.5,2026-08-28,1,5.0899024,-0.4178369,5.1070237,274.69296,27.950012,75.5,1012.40576,0.5625
5.25,70.75,2026-08-28,1,4.2399025,-0.5578369,4.2764416,277.49527,28.050018,74.7,1012.56775,0.3125
5.25,71.0,2026-08-28,1,3.9799023,-0.7978369,4.0590844,281.33563,28.050018,74.5,1012.7317,0.8125
5.25,71.25,2026-08-28,1,3.5399024,-0.3178369,3.5541425,275.13065,27.950012,75.5,1012.79974,2.125
5.25,71.5,2026-08-28,1,3.8399024,0.4521631,3.8664327,263.28412,27.850006,76.8,1012.7658,2.1875
5.25,71.75,2026-08-28,1,4.4899025,0.5721631,4.5262117,262.73776,27.75,77.2,1012.7417,1.875
5.25,72.0,2026-08-28,1,4.7399025,0.5621631,4.773123,263.2362,27.75,77.0,1012.7277,0.75
5.25,72.25,2026-08-28,1,4.7299023,0.6321631,4.7719603,262.3874,27.850006,76.5,1012.7617,0.875
5.25,72.5,2026-08-28,1,4.9899025,0.55216306,5.0203595,263.68558,27.850006,76.5,1012.6817,0.625
5.25,72.75,2026-08-28,1,5.2299023,0.3321631,5.24044,266.3659,27.75,76.9,1012.6258,0.0625
5.25,73.0,2026-08-28,1,5.079902,-0.057836913,5.0802317,270.6523,27.75,76.6,1012.62976,0.0625
5.25,73.25,2026-08-28,1,5.2099023,-0.057836913,5.210223,270.63605,27.75,76.4,1012.60376,0.0
5.25,73.5,2026-08-28,1,5.1599026,0.41216308,5.1763377,265.433,27.850006,76.7,1012.65173,0.0
5.25,73.75,2026-08-28,1,5.3999023,0.6521631,5.4391418,263.11356,27.850006,76.9,1012.62976,0.0
5.25,74.0,2026-08-28,1,5.2299023,0.5121631,5.2549205,264.40686,27.850006,76.4,1012.6958,0.1875
5.25,74.25,2026-08-28,1,5.2999024,0.61216307,5.3351393,263.4113,27.850006,76.5,1012.71375,0.125
5.25,74.5,2026-08-28,1,5.4799023,1.012163,5.5725937,259.53516,27.75,77.1,1012.6477,0.0
5.25,74.75,2026-08-28,1,5.5499024,1.1821631,5.67441,257.97537,27.850006,77.3,1012.6838,0.0
5.25,75.0,2026-08-28,1,5.6999025,1.0621631,5.7980237,259.44415,27.850006,77.1,1012.70374,0.0625
5.25,75.25,2026-08-28,1,6.0299025,0.9621631,6.106184,260.93402,27.850006,77.3,1012.66376,0.3125
5.25,75.5,2026-08-28,1,6.289902,0.9721631,6.3645873,261.21393,27.950012,77.3,1012.6498,0.9375
